layer,erm_accuracy,dann_accuracy,reduction,relative_reduction
0,0.7554,0.7554,0.0,0.0
1,0.7430000000000001,0.7430000000000001,0.0,0.0
2,0.709,0.709,0.0,0.0
3,0.6396,0.6396,0.0,0.0
4,0.557,0.557,0.0,0.0
5,0.4934,0.4934,0.0,0.0
6,0.442,0.442,0.0,0.0
7,0.43899999999999995,0.43899999999999995,0.0,0.0
8,0.5,0.5,0.0,0.0
9,0.5514000000000001,0.5514000000000001,0.0,0.0
10,0.5642,0.5642,0.0,0.0
11,0.542,0.542,0.0,0.0
repr,0.47140000000000004,0.4598,0.011600000000000055,0.024607551972846954
