mode,representation_mode,layer_key,cka
layer_patch_hidden,hidden_states,0,0.9999999999103751
layer_patch_hidden,hidden_states,1,0.9999999998987638
layer_patch_hidden,hidden_states,2,0.999999999909056
layer_patch_hidden,hidden_states,3,0.9999999999003389
layer_patch_hidden,hidden_states,4,0.9999999998210143
layer_patch_hidden,hidden_states,5,0.999999999730657
layer_patch_hidden,hidden_states,6,0.9999999997612465
layer_patch_hidden,hidden_states,7,0.9999999998678872
layer_patch_hidden,hidden_states,8,0.9999999998953047
layer_patch_hidden,hidden_states,9,0.9999999998902173
layer_patch_hidden,hidden_states,10,0.9999999814300249
layer_patch_hidden,hidden_states,11,0.9999999999902639
layer_patch_mixed,mixed,mixed,0.9994702223901177
layer_patch_repr,repr,repr,0.9940669987330801
pool_weight_transplant,layer_contrib,0,0.9949699210515794
pool_weight_transplant,layer_contrib,1,0.9938958893804057
pool_weight_transplant,layer_contrib,2,0.991995555496905
pool_weight_transplant,layer_contrib,3,0.9896152540395219
pool_weight_transplant,layer_contrib,4,0.9814093065487933
pool_weight_transplant,layer_contrib,5,0.9457666118774959
pool_weight_transplant,layer_contrib,6,0.9188451733114887
pool_weight_transplant,layer_contrib,7,0.9215985580177751
pool_weight_transplant,layer_contrib,8,0.8646778760555797
pool_weight_transplant,layer_contrib,9,0.6062595245061704
pool_weight_transplant,layer_contrib,10,0.039964860685789826
pool_weight_transplant,layer_contrib,11,0.766819031715593
