mode,model_label,eer,min_dcf,eval_split,probe_split,max_eval_samples,max_cka_samples,max_probe_samples,probe_representation,probe_target,codec_unique,codec_q_unique,probe_target_unique,probe_chance_acc,probe_chance_pct,max_probe_acc,probe_num_samples,max_leakage_layer,delta_eer_vs_base,delta_min_dcf_vs_base,delta_probe_vs_base,notes
layer_patch_repr,Patched ERM:layer_patch_repr,0.08209885543305415,0.20531791928297372,eval,eval,20000,5000,5000,repr,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.4284,5000,0,-0.002707495067419588,-0.00773434437284129,-0.007199999999999984,global_repr_patch
layer_patch_mixed,Patched ERM:layer_patch_mixed,0.08430838118376476,0.21085915297731464,eval,eval,20000,5000,5000,mixed,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7013999999999999,5000,0,-0.0004979693167089794,-0.002193110678500365,0.0,global_mixed_patch
pool_weight_transplant,Patched ERM:pool_weight_transplant,0.08430838118376476,0.21085915297731464,eval,eval,20000,5000,5000,layer_contrib,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7686000000000001,5000,0,-0.0004979693167089794,-0.002193110678500365,0.0,"pool_weight_transplant (l2_delta=0.025912, max_abs_delta=0.015199)"
layer_patch_hidden,Patched ERM:layer_patch_hidden,0.08480635050047373,0.213052263655815,eval,eval,20000,5000,5000,hidden_states,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7686,5000,0,0.0,0.0,0.0,"layers=[11, 0, 1]"
