mode,model_label,eer,min_dcf,eval_split,probe_split,max_eval_samples,max_cka_samples,max_probe_samples,probe_representation,probe_target,codec_unique,codec_q_unique,probe_target_unique,probe_chance_acc,probe_chance_pct,max_probe_acc,probe_num_samples,max_leakage_layer,delta_eer_vs_base,delta_min_dcf_vs_base,delta_probe_vs_base,notes
layer_patch_mixed,Patched ERM:layer_patch_mixed,0.144621931379543,0.34702129669647896,eval,eval,20000,5000,5000,mixed,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.6522,5000,0,-0.020073748803274283,-0.034714158297335485,0.0,global_mixed_patch
pool_weight_transplant,Patched ERM:pool_weight_transplant,0.144621931379543,0.34702129669647896,eval,eval,20000,5000,5000,layer_contrib,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7299999999999999,5000,0,-0.020073748803274283,-0.034714158297335485,0.0,"pool_weight_transplant (l2_delta=0.513100, max_abs_delta=0.230224)"
layer_patch_repr,Patched ERM:layer_patch_repr,0.15825341524008035,0.37096887856045263,eval,eval,20000,5000,5000,repr,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.47759999999999997,5000,0,-0.006442264942736919,-0.010766576433361819,-0.01920000000000005,global_repr_patch
layer_patch_hidden,Patched ERM:layer_patch_hidden,0.16469568018281727,0.38173545499381445,eval,eval,20000,5000,5000,hidden_states,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7297999999999999,5000,0,0.0,0.0,0.0,"layers=[10, 5, 6]"
