mode,model_label,eer,min_dcf,eval_split,probe_split,max_eval_samples,max_cka_samples,max_probe_samples,probe_representation,probe_target,codec_unique,codec_q_unique,probe_target_unique,probe_chance_acc,probe_chance_pct,max_probe_acc,probe_num_samples,max_leakage_layer,delta_eer_vs_base,delta_min_dcf_vs_base,delta_probe_vs_base,notes
layer_patch_mixed,Patched ERM:layer_patch_mixed,0.06230542746261418,0.16504566588781852,eval,eval,20000,5000,5000,mixed,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7008,5000,0,-0.009398744668510997,-0.021208899399163733,0.0,global_mixed_patch
pool_weight_transplant,Patched ERM:pool_weight_transplant,0.06230542746261418,0.16504566588781852,eval,eval,20000,5000,5000,layer_contrib,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7692,5000,0,-0.009398744668510997,-0.021208899399163733,0.0,"pool_weight_transplant (l2_delta=0.493713, max_abs_delta=0.291622)"
layer_patch_repr,Patched ERM:layer_patch_repr,0.06775175377193315,0.18065192384894257,eval,eval,20000,5000,5000,repr,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.3928,5000,0,-0.0039524183591920226,-0.005602641438039679,0.012799999999999978,global_repr_patch
layer_patch_hidden,Patched ERM:layer_patch_hidden,0.07170417213112518,0.18625456528698225,eval,eval,20000,5000,5000,hidden_states,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7686,5000,0,0.0,0.0,0.0,"layers=[11, 0, 1]"
