mode,representation_mode,layer_key,cka
layer_patch_hidden,hidden_states,0,0.9999999990320705
layer_patch_hidden,hidden_states,1,0.999999999581353
layer_patch_hidden,hidden_states,2,0.999999999674084
layer_patch_hidden,hidden_states,3,0.9999999997446248
layer_patch_hidden,hidden_states,4,0.9999999997241322
layer_patch_hidden,hidden_states,5,0.9999999997842262
layer_patch_hidden,hidden_states,6,0.9999999998159226
layer_patch_hidden,hidden_states,7,0.9999999997981126
layer_patch_hidden,hidden_states,8,0.99999999986555
layer_patch_hidden,hidden_states,9,0.9999999999331994
layer_patch_hidden,hidden_states,10,0.9999999999639404
layer_patch_hidden,hidden_states,11,0.9999999960170888
layer_patch_mixed,mixed,mixed,0.9993571847402423
layer_patch_repr,repr,repr,0.9909965437896818
pool_weight_transplant,layer_contrib,0,0.9514936360787211
pool_weight_transplant,layer_contrib,1,0.9823043741193005
pool_weight_transplant,layer_contrib,2,0.9819311821490321
pool_weight_transplant,layer_contrib,3,0.9859353229324589
pool_weight_transplant,layer_contrib,4,0.9739181457242595
pool_weight_transplant,layer_contrib,5,0.9532265998588163
pool_weight_transplant,layer_contrib,6,0.8883106438746604
pool_weight_transplant,layer_contrib,7,0.7657707163310709
pool_weight_transplant,layer_contrib,8,0.7483441793003538
pool_weight_transplant,layer_contrib,9,0.7389906253470178
pool_weight_transplant,layer_contrib,10,0.6913295948344147
pool_weight_transplant,layer_contrib,11,0.054242418891317944
