mode,model_label,eer,min_dcf,eval_split,probe_split,max_eval_samples,max_cka_samples,max_probe_samples,probe_representation,probe_target,codec_unique,codec_q_unique,probe_target_unique,probe_chance_acc,probe_chance_pct,max_probe_acc,probe_num_samples,max_leakage_layer,delta_eer_vs_base,delta_min_dcf_vs_base,delta_probe_vs_base,notes
layer_patch_mixed,Patched ERM:layer_patch_mixed,0.13895795658634935,0.33893993596138133,eval,eval,20000,5000,5000,mixed,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.6522,5000,0,-0.012821857536514242,-0.022508225513336755,0.0,global_mixed_patch
pool_weight_transplant,Patched ERM:pool_weight_transplant,0.13895795658634935,0.33893993596138133,eval,eval,20000,5000,5000,layer_contrib,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7292,5000,0,-0.012821857536514242,-0.022508225513336755,0.0,"pool_weight_transplant (l2_delta=0.373126, max_abs_delta=0.193119)"
layer_patch_hidden,Patched ERM:layer_patch_hidden,0.1517798141228636,0.3614481614747181,eval,eval,20000,5000,5000,hidden_states,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7297999999999999,5000,0,0.0,0.0,0.0,"layers=[10, 5, 6]"
layer_patch_repr,Patched ERM:layer_patch_repr,0.16348209306552464,0.38703695920457803,eval,eval,20000,5000,5000,repr,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.49239999999999995,5000,0,0.011702278942661043,0.025588797729859947,0.022199999999999942,global_repr_patch
