mode,model_label,eer,min_dcf,eval_split,probe_split,max_eval_samples,max_cka_samples,max_probe_samples,probe_representation,probe_target,codec_unique,codec_q_unique,probe_target_unique,probe_chance_acc,probe_chance_pct,max_probe_acc,probe_num_samples,max_leakage_layer,delta_eer_vs_base,delta_min_dcf_vs_base,delta_probe_vs_base,notes
layer_patch_mixed,Patched ERM:layer_patch_mixed,0.07201582913843932,0.19227279692745547,eval,eval,20000,5000,5000,mixed,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7006,5000,0,-0.0007156178005836428,-0.0021304383295407403,0.0,global_mixed_patch
pool_weight_transplant,Patched ERM:pool_weight_transplant,0.07201582913843932,0.19227279692745547,eval,eval,20000,5000,5000,layer_contrib,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7688,5000,0,-0.0007156178005836428,-0.0021304383295407403,0.0,"pool_weight_transplant (l2_delta=0.070574, max_abs_delta=0.037792)"
layer_patch_hidden,Patched ERM:layer_patch_hidden,0.07273144693902296,0.1944032352569962,eval,eval,20000,5000,5000,hidden_states,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7686,5000,0,0.0,0.0,0.0,"layers=[11, 0, 1]"
layer_patch_repr,Patched ERM:layer_patch_repr,0.08648657075999552,0.21688370764409243,eval,eval,20000,5000,5000,repr,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.4600000000000001,5000,0,0.013755123820972562,0.022480472387096218,0.05900000000000011,global_repr_patch
