mode,representation_mode,layer_key,cka
layer_patch_hidden,hidden_states,0,0.9999999999103751
layer_patch_hidden,hidden_states,1,0.9999999998987638
layer_patch_hidden,hidden_states,2,0.999999999909056
layer_patch_hidden,hidden_states,3,0.9999999999003389
layer_patch_hidden,hidden_states,4,0.9999999998210143
layer_patch_hidden,hidden_states,5,0.999999999730657
layer_patch_hidden,hidden_states,6,0.9999999997612465
layer_patch_hidden,hidden_states,7,0.9999999998678872
layer_patch_hidden,hidden_states,8,0.9999999998953047
layer_patch_hidden,hidden_states,9,0.9999999998902173
layer_patch_hidden,hidden_states,10,0.9999999814300249
layer_patch_hidden,hidden_states,11,0.9999999999902639
layer_patch_mixed,mixed,mixed,0.9988623819816485
layer_patch_repr,repr,repr,0.9868104395587592
pool_weight_transplant,layer_contrib,0,0.9917133213327302
pool_weight_transplant,layer_contrib,1,0.9910393763258842
pool_weight_transplant,layer_contrib,2,0.9888670598035663
pool_weight_transplant,layer_contrib,3,0.98840055707353
pool_weight_transplant,layer_contrib,4,0.9851033119243825
pool_weight_transplant,layer_contrib,5,0.9575184758444235
pool_weight_transplant,layer_contrib,6,0.9385656943002328
pool_weight_transplant,layer_contrib,7,0.9404476892258704
pool_weight_transplant,layer_contrib,8,0.8880547173200404
pool_weight_transplant,layer_contrib,9,0.6061602261102831
pool_weight_transplant,layer_contrib,10,0.03888268628664206
pool_weight_transplant,layer_contrib,11,0.753752606595698
