mode,representation_mode,layer_key,cka
layer_patch_hidden,hidden_states,0,0.9999999990320705
layer_patch_hidden,hidden_states,1,0.999999999581353
layer_patch_hidden,hidden_states,2,0.999999999674084
layer_patch_hidden,hidden_states,3,0.9999999997446248
layer_patch_hidden,hidden_states,4,0.9999999997241322
layer_patch_hidden,hidden_states,5,0.9999999997842262
layer_patch_hidden,hidden_states,6,0.9999999998159226
layer_patch_hidden,hidden_states,7,0.9999999997981126
layer_patch_hidden,hidden_states,8,0.99999999986555
layer_patch_hidden,hidden_states,9,0.9999999999331994
layer_patch_hidden,hidden_states,10,0.9999999999639404
layer_patch_hidden,hidden_states,11,0.9999999960170888
layer_patch_mixed,mixed,mixed,0.9999993964485904
layer_patch_repr,repr,repr,0.9951591302514289
pool_weight_transplant,layer_contrib,0,0.9854180460480421
pool_weight_transplant,layer_contrib,1,0.986042215026082
pool_weight_transplant,layer_contrib,2,0.9853069492454156
pool_weight_transplant,layer_contrib,3,0.9813752484688615
pool_weight_transplant,layer_contrib,4,0.9515537766436624
pool_weight_transplant,layer_contrib,5,0.9275197014231549
pool_weight_transplant,layer_contrib,6,0.8611264262951298
pool_weight_transplant,layer_contrib,7,0.7415308330265956
pool_weight_transplant,layer_contrib,8,0.7241927394911
pool_weight_transplant,layer_contrib,9,0.7163791390179592
pool_weight_transplant,layer_contrib,10,0.695565203527373
pool_weight_transplant,layer_contrib,11,0.05710081213623742
