mode,representation_mode,layer_key,cka
layer_patch_hidden,hidden_states,0,0.9999999990320705
layer_patch_hidden,hidden_states,1,0.999999999581353
layer_patch_hidden,hidden_states,2,0.999999999674084
layer_patch_hidden,hidden_states,3,0.9999999997446248
layer_patch_hidden,hidden_states,4,0.9999999997241322
layer_patch_hidden,hidden_states,5,0.9999999997842262
layer_patch_hidden,hidden_states,6,0.9999999998159226
layer_patch_hidden,hidden_states,7,0.9999999997981126
layer_patch_hidden,hidden_states,8,0.99999999986555
layer_patch_hidden,hidden_states,9,0.9999999999331994
layer_patch_hidden,hidden_states,10,0.9999999999639404
layer_patch_hidden,hidden_states,11,0.9999999960170888
layer_patch_mixed,mixed,mixed,0.9999879773329431
layer_patch_repr,repr,repr,0.9740339754123621
pool_weight_transplant,layer_contrib,0,0.9855607071973298
pool_weight_transplant,layer_contrib,1,0.9865580485485291
pool_weight_transplant,layer_contrib,2,0.9853187798330149
pool_weight_transplant,layer_contrib,3,0.9825445726492109
pool_weight_transplant,layer_contrib,4,0.9530708405472269
pool_weight_transplant,layer_contrib,5,0.9273396323644292
pool_weight_transplant,layer_contrib,6,0.858692879193362
pool_weight_transplant,layer_contrib,7,0.7324615331693604
pool_weight_transplant,layer_contrib,8,0.7152238282287047
pool_weight_transplant,layer_contrib,9,0.7102485548499187
pool_weight_transplant,layer_contrib,10,0.694464077967274
pool_weight_transplant,layer_contrib,11,0.054181206970767865
