mode,model_label,eer,min_dcf,eval_split,probe_split,max_eval_samples,max_cka_samples,max_probe_samples,probe_representation,probe_target,codec_unique,codec_q_unique,probe_target_unique,probe_chance_acc,probe_chance_pct,max_probe_acc,probe_num_samples,max_leakage_layer,delta_eer_vs_base,delta_min_dcf_vs_base,delta_probe_vs_base,notes
layer_patch_mixed,Patched ERM:layer_patch_mixed,0.1456805423619206,0.34944198053053405,eval,eval,20000,5000,5000,mixed,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.6517999999999999,5000,0,-0.01951310713760565,-0.03386618467848895,0.0,global_mixed_patch
pool_weight_transplant,Patched ERM:pool_weight_transplant,0.1456805423619206,0.34944198053053405,eval,eval,20000,5000,5000,layer_contrib,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.73,5000,0,-0.01951310713760565,-0.03386618467848895,0.0,"pool_weight_transplant (l2_delta=0.571312, max_abs_delta=0.248208)"
layer_patch_repr,Patched ERM:layer_patch_repr,0.15305607358911588,0.361786747135235,eval,eval,20000,5000,5000,repr,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.466,5000,0,-0.01213757591041037,-0.02152141807378799,-0.020999999999999908,global_repr_patch
layer_patch_hidden,Patched ERM:layer_patch_hidden,0.16519364949952625,0.383308165209023,eval,eval,20000,5000,5000,hidden_states,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7297999999999999,5000,0,0.0,0.0,0.0,"layers=[10, 5, 6]"
