mode,model_label,eer,min_dcf,eval_split,probe_split,max_eval_samples,max_cka_samples,max_probe_samples,probe_representation,probe_target,codec_unique,codec_q_unique,probe_target_unique,probe_chance_acc,probe_chance_pct,max_probe_acc,probe_num_samples,max_leakage_layer,delta_eer_vs_base,delta_min_dcf_vs_base,delta_probe_vs_base,notes
layer_patch_mixed,Patched ERM:layer_patch_mixed,0.15679084346443323,0.37303790914629464,eval,eval,20000,5000,5000,mixed,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.6522,5000,0,-0.015841009611247958,-0.02840652422252188,0.0,global_mixed_patch
pool_weight_transplant,Patched ERM:pool_weight_transplant,0.15679084346443323,0.37303790914629464,eval,eval,20000,5000,5000,layer_contrib,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7293999999999999,5000,0,-0.015841009611247958,-0.02840652422252188,0.0,"pool_weight_transplant (l2_delta=0.407840, max_abs_delta=0.188702)"
layer_patch_repr,Patched ERM:layer_patch_repr,0.1572574766066624,0.3704410112477958,eval,eval,20000,5000,5000,repr,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.4824,5000,0,-0.015374376469018791,-0.031003422121020696,-0.015000000000000013,global_repr_patch
layer_patch_hidden,Patched ERM:layer_patch_hidden,0.17263185307568119,0.4014444333688165,eval,eval,20000,5000,5000,hidden_states,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7297999999999999,5000,0,0.0,0.0,0.0,"layers=[10, 5, 6]"
