mode,model_label,eer,min_dcf,eval_split,probe_split,max_eval_samples,max_cka_samples,max_probe_samples,probe_representation,probe_target,codec_unique,codec_q_unique,probe_target_unique,probe_chance_acc,probe_chance_pct,max_probe_acc,probe_num_samples,max_leakage_layer,delta_eer_vs_base,delta_min_dcf_vs_base,delta_probe_vs_base,notes
layer_patch_mixed,Patched ERM:layer_patch_mixed,0.08188120694917948,0.20562369339620643,eval,eval,20000,5000,5000,mixed,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7006,5000,0,-0.000186312309394851,-0.0002511109309255577,0.0,global_mixed_patch
pool_weight_transplant,Patched ERM:pool_weight_transplant,0.08188120694917948,0.20562369339620643,eval,eval,20000,5000,5000,layer_contrib,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7686000000000001,5000,0,-0.000186312309394851,-0.0002511109309255577,0.0,"pool_weight_transplant (l2_delta=0.015195, max_abs_delta=0.009985)"
layer_patch_hidden,Patched ERM:layer_patch_hidden,0.08206751925857433,0.20587480432713198,eval,eval,20000,5000,5000,hidden_states,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7686,5000,0,0.0,0.0,0.0,"layers=[11, 0, 1]"
layer_patch_repr,Patched ERM:layer_patch_repr,0.08384174804153559,0.20885869623164985,eval,eval,20000,5000,5000,repr,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.44400000000000006,5000,0,0.001774228782961254,0.002983891904517866,0.00040000000000006697,global_repr_patch
