mode,representation_mode,layer_key,cka
layer_patch_hidden,hidden_states,0,0.9999999990320705
layer_patch_hidden,hidden_states,1,0.999999999581353
layer_patch_hidden,hidden_states,2,0.999999999674084
layer_patch_hidden,hidden_states,3,0.9999999997446248
layer_patch_hidden,hidden_states,4,0.9999999997241322
layer_patch_hidden,hidden_states,5,0.9999999997842262
layer_patch_hidden,hidden_states,6,0.9999999998159226
layer_patch_hidden,hidden_states,7,0.9999999997981126
layer_patch_hidden,hidden_states,8,0.99999999986555
layer_patch_hidden,hidden_states,9,0.9999999999331994
layer_patch_hidden,hidden_states,10,0.9999999999639404
layer_patch_hidden,hidden_states,11,0.9999999960170888
layer_patch_mixed,mixed,mixed,0.9996104874072442
layer_patch_repr,repr,repr,0.9869823106528066
pool_weight_transplant,layer_contrib,0,0.9628833561989835
pool_weight_transplant,layer_contrib,1,0.9834078749877622
pool_weight_transplant,layer_contrib,2,0.9828629493198642
pool_weight_transplant,layer_contrib,3,0.9851317831332536
pool_weight_transplant,layer_contrib,4,0.971505904530811
pool_weight_transplant,layer_contrib,5,0.951759692099943
pool_weight_transplant,layer_contrib,6,0.885064411412872
pool_weight_transplant,layer_contrib,7,0.7559427927221657
pool_weight_transplant,layer_contrib,8,0.7351534869669014
pool_weight_transplant,layer_contrib,9,0.7281760873962316
pool_weight_transplant,layer_contrib,10,0.6906525114106816
pool_weight_transplant,layer_contrib,11,0.052917972321639244
