mode,model_label,eer,min_dcf,eval_split,probe_split,max_eval_samples,max_cka_samples,max_probe_samples,probe_representation,probe_target,codec_unique,codec_q_unique,probe_target_unique,probe_chance_acc,probe_chance_pct,max_probe_acc,probe_num_samples,max_leakage_layer,delta_eer_vs_base,delta_min_dcf_vs_base,delta_probe_vs_base,notes
layer_patch_mixed,Patched ERM:layer_patch_mixed,0.1327333401274871,0.324998078295927,eval,eval,20000,5000,5000,mixed,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.6517999999999999,5000,0,-0.021132359785651866,-0.039982850960814775,0.0,global_mixed_patch
pool_weight_transplant,Patched ERM:pool_weight_transplant,0.1327333401274871,0.324998078295927,eval,eval,20000,5000,5000,layer_contrib,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7302000000000001,5000,0,-0.021132359785651866,-0.039982850960814775,0.0,"pool_weight_transplant (l2_delta=0.763304, max_abs_delta=0.328067)"
layer_patch_repr,Patched ERM:layer_patch_repr,0.14340834426225035,0.34242183437688056,eval,eval,20000,5000,5000,repr,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.4666,5000,0,-0.010457355650888622,-0.022559094879861186,-0.014600000000000002,global_repr_patch
layer_patch_hidden,Patched ERM:layer_patch_hidden,0.15386569991313898,0.36498092925674175,eval,eval,20000,5000,5000,hidden_states,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7297999999999999,5000,0,0.0,0.0,0.0,"layers=[10, 5, 6]"
