mode,representation_mode,layer_key,cka
layer_patch_hidden,hidden_states,0,0.9999999999103751
layer_patch_hidden,hidden_states,1,0.9999999998987638
layer_patch_hidden,hidden_states,2,0.999999999909056
layer_patch_hidden,hidden_states,3,0.9999999999003389
layer_patch_hidden,hidden_states,4,0.9999999998210143
layer_patch_hidden,hidden_states,5,0.999999999730657
layer_patch_hidden,hidden_states,6,0.9999999997612465
layer_patch_hidden,hidden_states,7,0.9999999998678872
layer_patch_hidden,hidden_states,8,0.9999999998953047
layer_patch_hidden,hidden_states,9,0.9999999998902173
layer_patch_hidden,hidden_states,10,0.9999999814300249
layer_patch_hidden,hidden_states,11,0.9999999999902639
layer_patch_mixed,mixed,mixed,0.9996595784472966
layer_patch_repr,repr,repr,0.9932591996698891
pool_weight_transplant,layer_contrib,0,0.9956021327584695
pool_weight_transplant,layer_contrib,1,0.9948554806689606
pool_weight_transplant,layer_contrib,2,0.9930086820972609
pool_weight_transplant,layer_contrib,3,0.9899272403226353
pool_weight_transplant,layer_contrib,4,0.9792280662984237
pool_weight_transplant,layer_contrib,5,0.9401799581933092
pool_weight_transplant,layer_contrib,6,0.9099805442487104
pool_weight_transplant,layer_contrib,7,0.9120480332632802
pool_weight_transplant,layer_contrib,8,0.8562430468922652
pool_weight_transplant,layer_contrib,9,0.607766372295827
pool_weight_transplant,layer_contrib,10,0.040696509675187384
pool_weight_transplant,layer_contrib,11,0.775695261789785
