mode,model_label,eer,min_dcf,eval_split,probe_split,max_eval_samples,max_cka_samples,max_probe_samples,probe_representation,probe_target,codec_unique,codec_q_unique,probe_target_unique,probe_chance_acc,probe_chance_pct,max_probe_acc,probe_num_samples,max_leakage_layer,delta_eer_vs_base,delta_min_dcf_vs_base,delta_probe_vs_base,notes
layer_patch_repr,Patched A:ERM:layer_patch_repr,0.07469198803137908,0.5742832229779271,eval,eval,20000,5000,5000,repr,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.388,5000,0,-0.010114362469094654,-0.05983163640664646,-0.047599999999999976,global_repr_patch
layer_patch_mixed,Patched A:ERM:layer_patch_mixed,0.07571926283927685,0.6001636795946519,eval,eval,20000,5000,5000,mixed,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7013999999999999,5000,0,-0.009087087661196883,-0.03395117978992168,0.0,global_mixed_patch
pool_weight_transplant,Patched A:ERM:pool_weight_transplant,0.07571926283927685,0.6001636795946519,eval,eval,20000,5000,5000,layer_contrib,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7682,5000,0,-0.009087087661196883,-0.03395117978992168,0.0,"pool_weight_transplant (l2_delta=0.689905, max_abs_delta=0.355985)"
layer_patch_hidden,Patched A:ERM:layer_patch_hidden,0.08480635050047373,0.6341148593845736,eval,eval,20000,5000,5000,hidden_states,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.7686,5000,0,0.0,0.0,0.0,"layers=[11, 0, 1]"
