model,codec,metric,seed42,seed123,seed456,seed789,seed2024,mean,std
wavlm_dann,C03,min_dcf,0.186290,0.194645,0.198350,0.160742,0.159637,0.179933,0.018549
wavlm_dann,C04,eer,0.101742,0.102263,0.106482,0.090401,0.092979,0.098773,0.006784
wavlm_dann,C04,min_dcf,0.271345,0.271638,0.276659,0.250588,0.252657,0.264577,0.012035
wavlm_dann,C05,eer,0.053028,0.057439,0.065283,0.039102,0.040538,0.051078,0.011187
wavlm_dann,C05,min_dcf,0.129841,0.143358,0.160189,0.101672,0.101402,0.127292,0.025853
wavlm_dann,C06,eer,0.061389,0.064280,0.071085,0.048903,0.049489,0.059029,0.009644
wavlm_dann,C06,min_dcf,0.150528,0.161529,0.175648,0.122635,0.124944,0.147057,0.023045
wavlm_dann,C07,eer,0.120192,0.119785,0.122686,0.109572,0.112802,0.117008,0.005547
wavlm_dann,C07,min_dcf,0.315922,0.315143,0.315825,0.285891,0.298145,0.306185,0.013643
wavlm_dann,C08,eer,0.102976,0.104618,0.103302,0.092309,0.088089,0.098259,0.007533
wavlm_dann,C08,min_dcf,0.249457,0.256151,0.254081,0.227623,0.217144,0.240891,0.017465
wavlm_dann,C09,eer,0.096732,0.099401,0.100072,0.084849,0.087081,0.093627,0.007149
wavlm_dann,C09,min_dcf,0.238451,0.243043,0.242733,0.214348,0.216089,0.230933,0.014473
wavlm_dann,C10,eer,0.108646,0.109274,0.108633,0.097927,0.098815,0.104659,0.005754
wavlm_dann,C10,min_dcf,0.266387,0.266816,0.260468,0.242721,0.245623,0.256403,0.011490
wavlm_dann,C11,eer,0.075098,0.077653,0.083620,0.059728,0.062841,0.071788,0.010135
wavlm_dann,C11,min_dcf,0.186594,0.192153,0.207079,0.146456,0.153389,0.177134,0.026061
wavlm_dann,NONE,eer,0.049334,0.053778,0.061451,0.035246,0.036246,0.047211,0.011333
wavlm_dann,NONE,min_dcf,0.127205,0.138754,0.156735,0.093953,0.094897,0.122309,0.027545
w2v2_erm,C01,eer,0.121258,0.134573,0.142641,0.123130,0.133940,0.131108,0.008856
w2v2_erm,C01,min_dcf,0.291100,0.314670,0.332056,0.296135,0.314936,0.309779,0.016446
w2v2_erm,C02,eer,0.120071,0.120254,0.127402,0.114887,0.118396,0.120202,0.004565
w2v2_erm,C02,min_dcf,0.290917,0.292438,0.307341,0.283504,0.290464,0.292933,0.008759
w2v2_erm,C03,eer,0.134497,0.141486,0.147775,0.130581,0.138945,0.138657,0.006591
w2v2_erm,C03,min_dcf,0.331106,0.340301,0.355633,0.319859,0.338470,0.337074,0.013122
w2v2_erm,C04,eer,0.148147,0.149879,0.155035,0.145217,0.150816,0.149819,0.003612
w2v2_erm,C04,min_dcf,0.382662,0.374368,0.384275,0.369666,0.374266,0.377047,0.006188
w2v2_erm,C05,eer,0.107687,0.112242,0.118637,0.106969,0.113195,0.111746,0.004720
w2v2_erm,C05,min_dcf,0.255850,0.265310,0.280366,0.256420,0.266974,0.264984,0.009968
w2v2_erm,C06,eer,0.129114,0.141935,0.151265,0.131129,0.143834,0.139455,0.009234
w2v2_erm,C06,min_dcf,0.307769,0.326603,0.347551,0.310787,0.334081,0.325358,0.016522
w2v2_erm,C07,eer,0.164418,0.163157,0.167555,0.160650,0.163486,0.163853,0.002495
w2v2_erm,C07,min_dcf,0.423711,0.417747,0.421786,0.412687,0.413483,0.417883,0.004888
w2v2_erm,C08,eer,0.226146,0.158508,0.166515,0.156487,0.158278,0.173187,0.029857
w2v2_erm,C08,min_dcf,0.396584,0.391413,0.406617,0.387411,0.387713,0.393948,0.007992
w2v2_erm,C09,eer,0.188799,0.167569,0.178125,0.165002,0.167000,0.173299,0.010061
w2v2_erm,C09,min_dcf,0.410418,0.400310,0.418773,0.396662,0.397869,0.404806,0.009503
w2v2_erm,C10,eer,0.214508,0.181748,0.191879,0.176898,0.180310,0.189069,0.015276
w2v2_erm,C10,min_dcf,0.456613,0.450356,0.474395,0.439985,0.448907,0.454051,0.012830
w2v2_erm,C11,eer,0.222225,0.152481,0.161709,0.147589,0.152712,0.167343,0.031101
w2v2_erm,C11,min_dcf,0.345650,0.353111,0.369420,0.341076,0.355281,0.352908,0.010851
w2v2_erm,NONE,eer,0.099401,0.106097,0.113431,0.099661,0.107883,0.105295,0.005916
w2v2_erm,NONE,min_dcf,0.239495,0.255194,0.268788,0.241111,0.258569,0.252631,0.012330
w2v2_erm_aug,C01,eer,0.139608,0.146503,0.129827,0.131844,0.139898,0.137536,0.006748
w2v2_erm_aug,C01,min_dcf,0.328496,0.342410,0.305840,0.316138,0.329572,0.324491,0.013969
w2v2_erm_aug,C02,eer,0.126290,0.129065,0.115398,0.122127,0.124614,0.123499,0.005185
w2v2_erm_aug,C02,min_dcf,0.306954,0.313485,0.283725,0.299437,0.305854,0.301891,0.011311
w2v2_erm_aug,C03,eer,0.144184,0.151186,0.134302,0.141110,0.144793,0.143115,0.006140
w2v2_erm_aug,C03,min_dcf,0.350319,0.365023,0.326606,0.343240,0.350683,0.347174,0.013958
w2v2_erm_aug,C04,eer,0.152366,0.155959,0.144957,0.148225,0.153694,0.151040,0.004414
w2v2_erm_aug,C04,min_dcf,0.378619,0.387874,0.366301,0.376464,0.383037,0.378459,0.008084
w2v2_erm_aug,C05,eer,0.119760,0.125137,0.107478,0.114109,0.119982,0.117293,0.006733
w2v2_erm_aug,C05,min_dcf,0.279766,0.291824,0.254602,0.270665,0.283380,0.276047,0.014190
w2v2_erm_aug,C06,eer,0.150506,0.157953,0.137232,0.139685,0.151647,0.147405,0.008688
w2v2_erm_aug,C06,min_dcf,0.344657,0.360401,0.319724,0.330885,0.345709,0.340275,0.015526
w2v2_erm_aug,C07,eer,0.165560,0.167949,0.158694,0.162120,0.165336,0.163932,0.003587
w2v2_erm_aug,C07,min_dcf,0.419805,0.423008,0.409516,0.414327,0.418897,0.417111,0.005260
w2v2_erm_aug,C08,eer,0.169623,0.170831,0.158699,0.161481,0.166284,0.165383,0.005205
w2v2_erm_aug,C08,min_dcf,0.411309,0.412609,0.388071,0.395969,0.406479,0.402887,0.010556
w2v2_erm_aug,C09,eer,0.177221,0.177658,0.166313,0.167772,0.174318,0.172656,0.005308
w2v2_erm_aug,C09,min_dcf,0.421257,0.421908,0.394884,0.406335,0.417451,0.412367,0.011597
w2v2_erm_aug,C10,eer,0.192807,0.193840,0.179160,0.181317,0.189500,0.187325,0.006708
w2v2_erm_aug,C10,min_dcf,0.475670,0.476876,0.446717,0.453429,0.470669,0.464672,0.013736
w2v2_erm_aug,C11,eer,0.163829,0.166166,0.150239,0.151597,0.160512,0.158469,0.007195
w2v2_erm_aug,C11,min_dcf,0.371377,0.378771,0.346271,0.350262,0.371387,0.363614,0.014400
w2v2_erm_aug,NONE,eer,0.113919,0.120686,0.102393,0.108483,0.115048,0.112106,0.006947
w2v2_erm_aug,NONE,min_dcf,0.269689,0.285675,0.244845,0.262010,0.273688,0.267182,0.015135
w2v2_dann,C01,eer,0.134691,0.128284,0.129537,0.113915,0.122721,0.125830,0.007904
w2v2_dann,C01,min_dcf,0.318289,0.305137,0.306314,0.276654,0.293575,0.299994,0.015709
w2v2_dann,C02,eer,0.118697,0.112400,0.111248,0.103157,0.108787,0.110858,0.005647
w2v2_dann,C02,min_dcf,0.289098,0.279959,0.274901,0.258015,0.270593,0.274513,0.011512
w2v2_dann,C03,eer,0.138115,0.132954,0.132435,0.118872,0.127378,0.129951,0.007267
w2v2_dann,C03,min_dcf,0.334636,0.323816,0.320657,0.292578,0.310489,0.316435,0.015875
w2v2_dann,C04,eer,0.148759,0.144111,0.143382,0.136168,0.140309,0.142546,0.004675
w2v2_dann,C04,min_dcf,0.373078,0.363880,0.363448,0.349897,0.357085,0.361477,0.008626
w2v2_dann,C05,eer,0.115035,0.109280,0.105951,0.099347,0.104842,0.106891,0.005788
w2v2_dann,C05,min_dcf,0.273395,0.262940,0.254009,0.241906,0.251160,0.256682,0.011984
w2v2_dann,C06,eer,0.144842,0.140490,0.137364,0.125332,0.134239,0.136453,0.007350
w2v2_dann,C06,min_dcf,0.334539,0.323463,0.317174,0.294090,0.309840,0.315821,0.015154
w2v2_dann,C07,eer,0.160991,0.155150,0.156699,0.150910,0.153981,0.155546,0.003711
w2v2_dann,C07,min_dcf,0.411614,0.402946,0.402749,0.392196,0.398733,0.401648,0.007072
w2v2_dann,C08,eer,0.154735,0.147285,0.148493,0.134867,0.142278,0.145532,0.007431
w2v2_dann,C08,min_dcf,0.379270,0.366004,0.366846,0.335929,0.354497,0.360509,0.016299
w2v2_dann,C09,eer,0.161678,0.153775,0.155101,0.138085,0.148524,0.151433,0.008811
w2v2_dann,C09,min_dcf,0.389554,0.372489,0.374012,0.338370,0.364444,0.367773,0.018783
w2v2_dann,C10,eer,0.176271,0.166022,0.169420,0.149917,0.160767,0.164479,0.009896
w2v2_dann,C10,min_dcf,0.436787,0.416381,0.419258,0.377115,0.406036,0.411116,0.021994
w2v2_dann,C11,eer,0.151597,0.144598,0.143118,0.129908,0.137138,0.141272,0.008175
w2v2_dann,C11,min_dcf,0.352687,0.338534,0.336900,0.306588,0.324155,0.331773,0.017333
w2v2_dann,NONE,eer,0.111327,0.106689,0.103906,0.096680,0.101000,0.103920,0.005556
w2v2_dann,NONE,min_dcf,0.265468,0.256584,0.250101,0.233771,0.243185,0.249822,0.012169
